,Player ID,Season,Average Points,Average Assists,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
184,237,2009,29.71,8.57,1.01,6.36,7.29,5.09,1.7,10.11,10.11,10.17,7.8,1.64,39:01,3.43
185,220,2009,18.33,1.76,2.78,9.73,13.2,0.09,0.0,6.22,6.22,9.95,5.89,0.91,34:40,3.34
186,1593,2009,15.87,1.84,2.54,7.14,10.16,0.03,0.0,6.86,6.86,3.43,2.16,0.57,32:18,1.9
187,1700,2009,17.2,1.16,1.39,4.85,6.16,4.06,1.51,6.71,6.71,2.93,2.26,0.31,34:59,1.5
188,1798,2009,11.1,0.9,2.29,5.43,8.48,0.0,0.0,4.38,4.38,3.05,2.33,0.38,23:53,1.86
189,401,2009,20.76,6.01,0.35,2.92,3.76,0.77,0.21,8.62,8.62,4.33,3.32,0.73,36:48,2.78
190,735,2010,9.22,0.7,1.14,3.51,4.81,0.0,0.0,3.62,3.62,3.54,1.97,0.43,20:18,1.51
191,957,2010,0.5,0.25,0.25,1.13,1.31,0.0,0.0,0.19,0.19,0.13,0.13,0.0,4:20,0.31
192,1089,2010,13.45,2.67,1.92,6.7,8.92,0.05,0.0,5.51,5.51,3.38,2.42,0.66,28:22,1.61
193,1247,2010,15.02,1.48,1.31,5.42,8.35,0.01,0.0,6.2,6.2,3.37,2.63,1.14,34:40,1.25
194,1281,2010,8.63,2.27,0.73,4.79,6.19,0.19,0.04,3.85,3.85,1.5,0.88,0.9,25:41,1.23
195,1368,2010,7.94,0.65,0.59,4.59,6.82,0.0,0.0,2.94,2.94,3.5,2.06,0.39,25:58,1.05
196,1445,2010,10.2,0.8,1.6,4.0,5.4,0.0,0.0,3.6,3.6,3.2,3.0,0.0,18:06,1.4
197,237,2010,26.72,7.01,0.63,6.46,7.47,3.53,1.16,9.59,9.59,8.39,6.37,1.57,38:46,3.59
