,Pick,Teams,Draft Year,Player,Games Played,TotalMinPlayed,TotalPointsScored,TotalRebounds,TotalAssist,FieldGoal_%,3point_% ,FreeThrow_%,Win Shares,Win_sharesPer48mins,BoxPlus-Minus,ValueOverReplacementPlayer,AveMinPerGame,AvePointsPerGame,AveReboundPerGame,AveAssistPerGame
19,20,MIN,1990,Gerald Glass,201.0,3347.0,1553.0,512.0,298.0,0.433,0.236,0.643,1.8,0.025,0.0,0.1,16.7,7.7,2.5,1.5
20,21,PHO,1990,Jayson Williams,475.0,9805.0,3472.0,3584.0,287.0,0.44,0.125,0.606,20.0,0.098,0.0,0.0,20.6,7.3,7.5,0.6
21,22,BRK,1990,Tate George,177.0,2019.0,736.0,180.0,325.0,0.414,0.071,0.82,1.3,0.032,0.0,0.0,11.4,4.2,1.0,1.8
22,23,SAC,1990,Anthony Bonner,318.0,7372.0,2199.0,1726.0,442.0,0.468,0.125,0.59,10.8,0.07,0.0,0.1,23.2,6.9,5.4,1.4
23,24,SAS,1990,Dwayne Schintzius,217.0,1950.0,587.0,536.0,93.0,0.404,0.125,0.638,1.0,0.024,0.0,0.0,9.0,2.7,2.5,0.4
24,25,POR,1990,Alaa Abdelnaby,256.0,3200.0,1465.0,846.0,85.0,0.502,0.0,0.701,4.8,0.072,0.0,0.0,12.5,5.7,3.3,0.3
25,26,DET,1990,Lance Blanks,142.0,1045.0,289.0,110.0,117.0,0.436,0.253,0.667,0.7,0.031,0.0,0.0,7.4,2.0,0.8,0.8
26,27,LAL,1990,Elden Campbell,1044.0,25776.0,10805.0,6116.0,1199.0,0.46,0.054,0.699,62.8,0.117,0.0,9.5,24.7,10.3,5.9,1.1
27,28,GSW,1990,Les Jepsen,52.0,192.0,53.0,67.0,2.0,0.333,0.0,0.65,0.1,0.031,0.0,0.0,3.7,1.0,1.3,0.0
28,29,CHI,1990,Toni Kukoč,846.0,22212.0,9810.0,3555.0,3119.0,0.447,0.335,0.729,59.6,0.129,2.8,27.2,26.3,11.6,4.2,3.7
29,30,MIA,1990,Carl Herrera,465.0,8042.0,2481.0,1690.0,261.0,0.476,0.143,0.643,9.0,0.054,0.0,0.0,17.3,5.3,3.6,0.6
30,31,PHO,1990,Negele Knight,276.0,4513.0,1699.0,351.0,780.0,0.436,0.263,0.73,4.2,0.044,0.0,0.0,16.4,6.2,1.3,2.8
31,32,PHI,1990,Brian Oliver,118.0,1182.0,389.0,123.0,114.0,0.388,0.227,0.705,0.0,0.0,0.0,0.0,10.0,3.3,1.0,1.0
32,33,UTA,1990,Walter Palmer,48.0,209.0,100.0,65.0,11.0,0.412,0.0,0.667,0.0,0.0,0.0,0.0,4.4,2.1,1.4,0.2
33,34,GSW,1990,Kevin Pritchard,94.0,1125.0,340.0,90.0,152.0,0.399,0.186,0.79,0.4,0.017,0.0,0.0,12.0,3.6,1.0,1.6
34,35,WAS,1990,Greg Foster,656.0,7974.0,2538.0,1691.0,351.0,0.44,0.225,0.748,5.6,0.033,0.0,0.0,12.2,3.9,2.6,0.5
35,36,ATL,1990,Trevor Wilson,103.0,1609.0,591.0,353.0,99.0,0.456,0.0,0.567,0.8,0.023,0.0,0.0,15.6,5.7,3.4,1.0
36,37,WAS,1990,A.J. English,151.0,3108.0,1502.0,315.0,320.0,0.435,0.138,0.778,1.1,0.017,0.0,0.0,20.6,9.9,2.1,2.1
37,38,OKC,1990,Jud Buechler,720.0,8444.0,2385.0,1266.0,560.0,0.433,0.366,0.633,16.5,0.094,0.0,4.0,11.7,3.3,1.8,0.8
38,39,CHA,1990,Steve Scheffler,174.0,918.0,331.0,180.0,26.0,0.558,0.2,0.759,2.9,0.153,0.0,0.0,5.3,1.9,1.0,0.1
39,40,SAC,1990,Bimbo Coles,852.0,20319.0,6628.0,1820.0,3313.0,0.425,0.267,0.811,27.4,0.065,0.0,1.9,23.8,7.8,2.1,3.9
40,41,ATL,1990,Steve Bardo,33.0,299.0,73.0,60.0,44.0,0.329,0.1,0.696,0.0,0.0,0.0,0.0,9.1,2.2,1.8,1.3
41,42,DEN,1990,Marcus Liberty,267.0,4568.0,1942.0,925.0,244.0,0.417,0.34,0.664,4.0,0.042,0.0,0.0,17.1,7.3,3.5,0.9
42,43,SAS,1990,Tony Massenburg,683.0,12291.0,4238.0,2964.0,266.0,0.47,0.091,0.705,15.6,0.061,0.0,0.0,18.0,6.2,4.3,0.4
43,44,MIL,1990,Steve Henson,238.0,2282.0,739.0,176.0,465.0,0.403,0.432,0.869,3.8,0.079,0.0,0.1,9.6,3.1,0.7,2.0
44,45,IND,1990,Antonio Davis,903.0,26084.0,9041.0,6755.0,1017.0,0.448,0.087,0.727,59.6,0.11,0.0,4.4,28.9,10.0,7.5,1.1
45,46,IND,1990,Kenny Williams,260.0,2918.0,1247.0,693.0,161.0,0.511,0.0,0.68,7.4,0.122,0.1,1.5,11.2,4.8,2.7,0.6
46,47,PHI,1990,Derek Strong,456.0,8548.0,3088.0,2213.0,291.0,0.43,0.18,0.786,18.5,0.104,0.0,0.0,18.7,6.8,4.9,0.6
47,48,PHO,1990,Cedric Ceballos,609.0,14712.0,8693.0,3258.0,723.0,0.5,0.309,0.753,40.4,0.132,0.7,10.1,24.2,14.3,5.3,1.2
48,49,DAL,1990,Phil Henderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,50,PHO,1990,Miloš Babić,21.0,87.0,37.0,20.0,10.0,0.375,0.0,0.65,0.0,0.0,0.0,0.0,4.1,1.8,1.0,0.5
50,51,LAL,1990,Tony Smith,457.0,7295.0,2504.0,735.0,881.0,0.431,0.307,0.69,6.7,0.044,0.0,0.0,16.0,5.5,1.6,1.9
51,52,CLE,1990,Stefano Rusconi,7.0,30.0,8.0,6.0,3.0,0.333,0.0,0.4,0.0,0.0,0.0,0.0,4.3,1.1,0.9,0.4
52,53,OKC,1990,Abdul Shamsid-Deen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,54,SAS,1990,Sean Higgins,220.0,3334.0,1375.0,402.0,226.0,0.428,0.321,0.85,0.4,0.006,0.0,0.0,15.2,6.3,1.8,1.0
