Player ID,Player ID,Season,Average Points,Average Assists,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
105,660,1994,11.54,1.38,3.91,8.66,12.55,0.0,0.0,4.26,4.26,4.62,3.02,0.49,37:48,2.34
106,685,1994,5.08,0.7,0.41,1.6,2.29,0.19,0.02,2.08,2.08,1.19,0.9,0.46,13:06,0.59
107,706,1994,6.51,1.33,0.82,3.29,4.78,0.04,0.0,2.45,2.45,1.95,1.6,0.44,18:12,1.56
108,661,1994,5.02,1.15,0.02,0.85,1.38,1.13,0.36,1.84,1.84,1.24,0.98,1.22,13:06,0.75
109,673,1994,13.86,2.59,0.62,2.78,4.84,0.34,0.09,5.22,5.22,4.55,3.32,1.32,31:04,2.0
110,702,1994,7.9,0.84,0.68,3.17,4.73,0.0,0.0,3.11,3.11,2.57,1.68,0.6,20:00,1.81
111,735,1994,29.3,2.71,2.43,7.25,11.41,0.06,0.0,11.77,11.77,10.81,5.76,0.92,37:00,2.58
112,771,1994,21.34,1.44,2.92,7.29,9.88,0.44,0.14,7.42,7.42,8.36,6.36,0.64,38:11,3.13
113,740,1994,16.32,2.89,1.07,5.54,7.57,0.49,0.16,5.56,5.56,6.17,5.05,1.25,34:11,2.78
114,793,1994,25.67,3.75,0.24,2.75,5.1,2.16,0.69,9.49,9.49,7.45,6.0,0.55,38:51,3.14
115,752,1994,4.0,0.67,0.83,1.67,2.83,0.0,0.0,1.5,1.5,1.0,1.0,0.17,9:40,0.83
116,731,1994,12.68,3.62,0.81,5.29,7.43,2.42,0.78,4.82,4.82,3.27,2.26,1.71,33:21,2.45
117,732,1994,16.35,4.1,0.82,3.18,4.48,3.84,1.34,5.78,5.78,4.73,3.45,1.6,35:34,3.16
118,727,1994,15.98,1.63,0.77,2.77,3.93,5.1,1.99,5.43,5.43,4.16,3.13,1.27,33:08,1.91
119,736,1994,6.15,0.4,0.33,2.56,4.36,0.0,0.0,2.29,2.29,2.31,1.56,0.48,16:56,0.83
120,847,1994,20.09,4.74,1.57,5.89,9.59,2.69,0.74,8.59,8.59,4.31,2.17,1.54,38:16,3.09
121,818,1994,9.49,0.65,3.34,5.07,8.04,0.04,0.0,3.84,3.84,2.83,1.8,0.66,28:50,1.73
122,799,1994,20.95,7.16,0.34,2.56,4.36,3.23,1.13,7.6,7.6,6.01,4.62,1.69,37:40,3.35
123,826,1994,24.08,3.73,0.1,2.69,4.14,4.3,1.41,8.54,8.54,7.56,5.59,1.03,37:15,2.94
124,837,1994,20.43,3.27,0.31,2.12,3.32,5.28,1.85,7.44,7.44,4.52,3.69,0.92,35:16,3.09
125,820,1994,16.58,2.27,0.27,2.77,4.12,3.63,1.23,6.56,6.56,2.73,2.22,1.03,33:59,1.94
126,803,1994,4.19,3.32,0.0,0.82,1.03,1.12,0.31,1.51,1.51,1.12,0.85,0.43,16:15,1.62
